safra,stage,fid,dose_n,bloco,tag
2223,V11,14,0,1,V11_p14_d0_b1
2223,V11,1,0,1,V11_p01_d0_b1
2223,V11,41,100,3,V11_p41_d100_b3
2223,V11,16,400,2,V11_p16_d400_b2
2223,V11,44,400,3,V11_p44_d400_b3
2223,V11,27,400,2,V11_p27_d400_b2
2223,V11,55,0,4,V11_p55_d0_b4
2223,V11,30,100,3,V11_p30_d100_b3
2223,V11,2,100,1,V11_p02_d100_b1
2223,V11,13,100,1,V11_p13_d100_b1
2223,V11,40,50,3,V11_p40_d50_b3
2223,V11,45,400,3,V11_p45_d400_b3
2223,V11,26,300,2,V11_p26_d300_b2
2223,V11,54,100,4,V11_p54_d100_b4
2223,V11,31,300,2,V11_p31_d300_b2
2223,V11,3,50,1,V11_p03_d50_b1
2223,V11,12,50,1,V11_p12_d50_b1
2223,V11,39,50,3,V11_p39_d50_b3
2223,V11,25,0,2,V11_p25_d0_b2
2223,V11,53,100,4,V11_p53_d100_b4
2223,V11,32,0,2,V11_p32_d0_b2
2223,V11,4,200,1,V11_p04_d200_b1
2223,V11,11,200,1,V11_p11_d200_b1
2223,V11,52,400,4,V11_p52_d400_b4
2223,V11,24,200,2,V11_p24_d200_b2
2223,V11,51,200,4,V11_p51_d200_b4
2223,V11,33,200,2,V11_p33_d200_b2
2223,V11,5,300,1,V11_p05_d300_b1
2223,V11,10,300,1,V11_p10_d300_b1
2223,V11,50,300,3,V11_p50_d300_b3
2223,V11,37,0,3,V11_p37_d0_b3
2223,V11,20,50,2,V11_p20_d50_b2
2223,V11,48,300,3,V11_p48_d300_b3
2223,V11,23,100,2,V11_p23_d100_b2
2223,V11,57,50,4,V11_p57_d50_b4
2223,V11,34,100,2,V11_p34_d100_b2
2223,V11,6,400,1,V11_p06_d400_b1
2223,V11,9,400,1,V11_p09_d400_b1
2223,V11,58,0,4,V11_p58_d0_b4
2223,V11,49,0,3,V11_p49_d0_b3
2223,V11,60,300,4,V11_p60_d300_b4
2223,V11,8,50,2,V11_p08_d50_b2
2223,V11,61,300,4,V11_p61_d300_b4
2223,V11,62,400,4,V11_p62_d400_b4
2223,V11,63,200,4,V11_p63_d200_b4
2223,V18,56,50,4,V18_p56_d50_b4
2223,V18,43,200,3,V18_p43_d200_b3
2223,V18,42,200,3,V18_p42_d200_b3
2223,V18,14,0,1,V18_p14_d0_b1
2223,V18,1,0,1,V18_p01_d0_b1
2223,V18,41,100,3,V18_p41_d100_b3
2223,V18,16,400,2,V18_p16_d400_b2
2223,V18,44,400,3,V18_p44_d400_b3
2223,V18,27,400,2,V18_p27_d400_b2
2223,V18,55,0,4,V18_p55_d0_b4
2223,V18,30,100,3,V18_p30_d100_b3
2223,V18,2,100,1,V18_p02_d100_b1
2223,V18,13,100,1,V18_p13_d100_b1
2223,V18,40,50,3,V18_p40_d50_b3
2223,V18,45,400,3,V18_p45_d400_b3
2223,V18,26,300,2,V18_p26_d300_b2
2223,V18,54,100,4,V18_p54_d100_b4
2223,V18,31,300,2,V18_p31_d300_b2
2223,V18,3,50,1,V18_p03_d50_b1
2223,V18,12,50,1,V18_p12_d50_b1
2223,V18,39,50,3,V18_p39_d50_b3
2223,V18,25,0,2,V18_p25_d0_b2
2223,V18,53,100,4,V18_p53_d100_b4
2223,V18,32,0,2,V18_p32_d0_b2
2223,V18,4,200,1,V18_p04_d200_b1
2223,V18,11,200,1,V18_p11_d200_b1
2223,V18,52,400,4,V18_p52_d400_b4
2223,V18,24,200,2,V18_p24_d200_b2
2223,V18,51,200,4,V18_p51_d200_b4
2223,V18,33,200,2,V18_p33_d200_b2
2223,V18,5,300,1,V18_p05_d300_b1
2223,V18,10,300,1,V18_p10_d300_b1
2223,V18,50,300,3,V18_p50_d300_b3
2223,V18,37,0,3,V18_p37_d0_b3
2223,V18,20,50,2,V18_p20_d50_b2
2223,V18,48,300,3,V18_p48_d300_b3
2223,V18,23,100,2,V18_p23_d100_b2
2223,V18,57,50,4,V18_p57_d50_b4
2223,V18,34,100,2,V18_p34_d100_b2
2223,V18,6,400,1,V18_p06_d400_b1
2223,V18,9,400,1,V18_p09_d400_b1
2223,V18,58,0,4,V18_p58_d0_b4
2223,V18,49,0,3,V18_p49_d0_b3
2223,V18,60,300,4,V18_p60_d300_b4
2223,V18,8,50,2,V18_p08_d50_b2
2223,V18,61,300,4,V18_p61_d300_b4
2223,V18,62,400,4,V18_p62_d400_b4
2223,V18,63,200,4,V18_p63_d200_b4
2223,V8,56,50,4,V8_p56_d50_b4
2223,V8,43,200,3,V8_p43_d200_b3
2223,V8,42,200,3,V8_p42_d200_b3
2223,V8,14,0,1,V8_p14_d0_b1
2223,V8,1,0,1,V8_p01_d0_b1
2223,V8,41,100,3,V8_p41_d100_b3
2223,V8,16,400,2,V8_p16_d400_b2
2223,V8,44,400,3,V8_p44_d400_b3
2223,V8,27,400,2,V8_p27_d400_b2
2223,V8,55,0,4,V8_p55_d0_b4
2223,V8,30,100,3,V8_p30_d100_b3
2223,V8,2,100,1,V8_p02_d100_b1
2223,V8,13,100,1,V8_p13_d100_b1
2223,V8,40,50,3,V8_p40_d50_b3
2223,V8,45,400,3,V8_p45_d400_b3
2223,V8,26,300,2,V8_p26_d300_b2
2223,V8,54,100,4,V8_p54_d100_b4
2223,V8,31,300,2,V8_p31_d300_b2
2223,V8,3,50,1,V8_p03_d50_b1
2223,V8,12,50,1,V8_p12_d50_b1
2223,V8,39,50,3,V8_p39_d50_b3
2223,V8,25,0,2,V8_p25_d0_b2
2223,V8,53,100,4,V8_p53_d100_b4
2223,V8,32,0,2,V8_p32_d0_b2
2223,V8,4,200,1,V8_p04_d200_b1
2223,V8,11,200,1,V8_p11_d200_b1
2223,V8,52,400,4,V8_p52_d400_b4
2223,V8,24,200,2,V8_p24_d200_b2
2223,V8,51,200,4,V8_p51_d200_b4
2223,V8,33,200,2,V8_p33_d200_b2
2223,V8,5,300,1,V8_p05_d300_b1
2223,V8,10,300,1,V8_p10_d300_b1
2223,V8,50,300,3,V8_p50_d300_b3
2223,V8,37,0,3,V8_p37_d0_b3
2223,V8,20,50,2,V8_p20_d50_b2
2223,V8,48,300,3,V8_p48_d300_b3
2223,V8,23,100,2,V8_p23_d100_b2
2223,V8,57,50,4,V8_p57_d50_b4
2223,V8,34,100,2,V8_p34_d100_b2
2223,V8,6,400,1,V8_p06_d400_b1
2223,V8,9,400,1,V8_p09_d400_b1
2223,V8,58,0,4,V8_p58_d0_b4
2223,V8,49,0,3,V8_p49_d0_b3
2223,V8,60,300,4,V8_p60_d300_b4
2223,V8,8,50,2,V8_p08_d50_b2
2223,V8,61,300,4,V8_p61_d300_b4
2223,V8,62,400,4,V8_p62_d400_b4
2223,V8,63,200,4,V8_p63_d200_b4
