safra,stage,phase,fid,dose_n,bloco,ndvi_mean,ndre_mean,cire_mean,npy,png,tag
2023_2024,R2,reprodutivo,124,400,3,0.7515,0.3522,1.1542,npy/R2__p124_d400_b3.npy,reprodutivo/R2__p124_d400_b3.png,R2__p124_d400_b3
2023_2024,R2,reprodutivo,125,300,3,0.747,0.3399,1.0881,npy/R2__p125_d300_b3.npy,reprodutivo/R2__p125_d300_b3.png,R2__p125_d300_b3
2023_2024,R2,reprodutivo,126,50,3,0.6713,0.2499,0.6786,npy/R2__p126_d50_b3.npy,reprodutivo/R2__p126_d50_b3.png,R2__p126_d50_b3
2023_2024,R2,reprodutivo,127,300,4,0.7116,0.3204,1.0006,npy/R2__p127_d300_b4.npy,reprodutivo/R2__p127_d300_b4.png,R2__p127_d300_b4
2023_2024,R2,reprodutivo,128,400,4,0.7443,0.35,1.1422,npy/R2__p128_d400_b4.npy,reprodutivo/R2__p128_d400_b4.png,R2__p128_d400_b4
2023_2024,R2,reprodutivo,130,100,4,0.7149,0.297,0.8808,npy/R2__p130_d100_b4.npy,reprodutivo/R2__p130_d100_b4.png,R2__p130_d100_b4
2023_2024,R2,reprodutivo,131,50,4,0.6988,0.2711,0.7635,npy/R2__p131_d50_b4.npy,reprodutivo/R2__p131_d50_b4.png,R2__p131_d50_b4
2023_2024,R2,reprodutivo,132,0,4,0.6856,0.2572,0.7058,npy/R2__p132_d0_b4.npy,reprodutivo/R2__p132_d0_b4.png,R2__p132_d0_b4
2023_2024,R2,reprodutivo,133,200,4,0.7508,0.3477,1.1272,npy/R2__p133_d200_b4.npy,reprodutivo/R2__p133_d200_b4.png,R2__p133_d200_b4
2023_2024,R5,reprodutivo,1,0,1,0.511,0.1636,0.4049,npy/R5__p01_d0_b1.npy,reprodutivo/R5__p01_d0_b1.png,R5__p01_d0_b1
2023_2024,R5,reprodutivo,15,50,1,0.584,0.1958,0.5025,npy/R5__p15_d50_b1.npy,reprodutivo/R5__p15_d50_b1.png,R5__p15_d50_b1
2023_2024,R5,reprodutivo,43,100,1,0.5856,0.2055,0.5422,npy/R5__p43_d100_b1.npy,reprodutivo/R5__p43_d100_b1.png,R5__p43_d100_b1
2023_2024,R5,reprodutivo,57,200,1,0.5888,0.2157,0.5727,npy/R5__p57_d200_b1.npy,reprodutivo/R5__p57_d200_b1.png,R5__p57_d200_b1
2023_2024,R5,reprodutivo,71,300,1,0.6947,0.2931,0.8814,npy/R5__p71_d300_b1.npy,reprodutivo/R5__p71_d300_b1.png,R5__p71_d300_b1
2023_2024,R5,reprodutivo,85,400,1,0.665,0.2827,0.8346,npy/R5__p85_d400_b1.npy,reprodutivo/R5__p85_d400_b1.png,R5__p85_d400_b1
2023_2024,R5,reprodutivo,113,400,2,0.6331,0.2455,0.7009,npy/R5__p113_d400_b2.npy,reprodutivo/R5__p113_d400_b2.png,R5__p113_d400_b2
2023_2024,R5,reprodutivo,114,300,2,0.6866,0.2916,0.9037,npy/R5__p114_d300_b2.npy,reprodutivo/R5__p114_d300_b2.png,R5__p114_d300_b2
2023_2024,R5,reprodutivo,116,200,2,0.6645,0.2583,0.7348,npy/R5__p116_d200_b2.npy,reprodutivo/R5__p116_d200_b2.png,R5__p116_d200_b2
2023_2024,R5,reprodutivo,117,100,2,0.604,0.1935,0.5029,npy/R5__p117_d100_b2.npy,reprodutivo/R5__p117_d100_b2.png,R5__p117_d100_b2
2023_2024,R5,reprodutivo,118,50,2,0.5273,0.1593,0.3892,npy/R5__p118_d50_b2.npy,reprodutivo/R5__p118_d50_b2.png,R5__p118_d50_b2
2023_2024,R5,reprodutivo,119,0,2,0.5223,0.1531,0.3689,npy/R5__p119_d0_b2.npy,reprodutivo/R5__p119_d0_b2.png,R5__p119_d0_b2
2023_2024,R5,reprodutivo,121,200,3,0.6578,0.2536,0.7248,npy/R5__p121_d200_b3.npy,reprodutivo/R5__p121_d200_b3.png,R5__p121_d200_b3
2023_2024,R5,reprodutivo,122,100,3,0.5826,0.1862,0.4701,npy/R5__p122_d100_b3.npy,reprodutivo/R5__p122_d100_b3.png,R5__p122_d100_b3
2023_2024,R5,reprodutivo,123,0,3,0.5795,0.1806,0.4545,npy/R5__p123_d0_b3.npy,reprodutivo/R5__p123_d0_b3.png,R5__p123_d0_b3
2023_2024,R5,reprodutivo,124,400,3,0.6967,0.2976,0.9345,npy/R5__p124_d400_b3.npy,reprodutivo/R5__p124_d400_b3.png,R5__p124_d400_b3
2023_2024,R5,reprodutivo,125,300,3,0.6418,0.2486,0.6949,npy/R5__p125_d300_b3.npy,reprodutivo/R5__p125_d300_b3.png,R5__p125_d300_b3
2023_2024,R5,reprodutivo,126,50,3,0.5394,0.1649,0.4038,npy/R5__p126_d50_b3.npy,reprodutivo/R5__p126_d50_b3.png,R5__p126_d50_b3
2023_2024,R5,reprodutivo,127,300,4,0.6446,0.2491,0.7078,npy/R5__p127_d300_b4.npy,reprodutivo/R5__p127_d300_b4.png,R5__p127_d300_b4
2023_2024,R5,reprodutivo,128,400,4,0.6752,0.2752,0.8139,npy/R5__p128_d400_b4.npy,reprodutivo/R5__p128_d400_b4.png,R5__p128_d400_b4
2023_2024,R5,reprodutivo,130,100,4,0.6189,0.2096,12.4384,npy/R5__p130_d100_b4.npy,reprodutivo/R5__p130_d100_b4.png,R5__p130_d100_b4
2023_2024,R5,reprodutivo,131,50,4,0.5665,0.1748,260.3058,npy/R5__p131_d50_b4.npy,reprodutivo/R5__p131_d50_b4.png,R5__p131_d50_b4
2023_2024,R5,reprodutivo,132,0,4,0.5794,0.1774,0.4407,npy/R5__p132_d0_b4.npy,reprodutivo/R5__p132_d0_b4.png,R5__p132_d0_b4
2023_2024,R5,reprodutivo,133,200,4,0.6686,0.2586,0.7366,npy/R5__p133_d200_b4.npy,reprodutivo/R5__p133_d200_b4.png,R5__p133_d200_b4
2023_2024,V13,vegetativo,1,0,1,0.5398,0.1821,0.4651,npy/V13__p01_d0_b1.npy,vegetativo/V13__p01_d0_b1.png,V13__p01_d0_b1
2023_2024,V13,vegetativo,15,50,1,0.6731,0.2562,0.7244,npy/V13__p15_d50_b1.npy,vegetativo/V13__p15_d50_b1.png,V13__p15_d50_b1
2023_2024,V13,vegetativo,43,100,1,0.6797,0.27,0.81,npy/V13__p43_d100_b1.npy,vegetativo/V13__p43_d100_b1.png,V13__p43_d100_b1
2023_2024,V13,vegetativo,57,200,1,0.6852,0.2908,0.8801,npy/V13__p57_d200_b1.npy,vegetativo/V13__p57_d200_b1.png,V13__p57_d200_b1
2023_2024,V13,vegetativo,71,300,1,0.7013,0.3026,0.9179,npy/V13__p71_d300_b1.npy,vegetativo/V13__p71_d300_b1.png,V13__p71_d300_b1
2023_2024,V13,vegetativo,85,400,1,0.6564,0.2652,0.7676,npy/V13__p85_d400_b1.npy,vegetativo/V13__p85_d400_b1.png,V13__p85_d400_b1
2023_2024,V13,vegetativo,113,400,2,0.6913,0.2687,0.781,npy/V13__p113_d400_b2.npy,vegetativo/V13__p113_d400_b2.png,V13__p113_d400_b2
2023_2024,V13,vegetativo,114,300,2,0.7629,0.3361,1.0967,npy/V13__p114_d300_b2.npy,vegetativo/V13__p114_d300_b2.png,V13__p114_d300_b2
2023_2024,V13,vegetativo,116,200,2,0.7221,0.3046,0.9348,npy/V13__p116_d200_b2.npy,vegetativo/V13__p116_d200_b2.png,V13__p116_d200_b2
2023_2024,V13,vegetativo,117,100,2,0.6774,0.2687,0.7792,npy/V13__p117_d100_b2.npy,vegetativo/V13__p117_d100_b2.png,V13__p117_d100_b2
2023_2024,V13,vegetativo,118,50,2,0.6466,0.2357,0.6409,npy/V13__p118_d50_b2.npy,vegetativo/V13__p118_d50_b2.png,V13__p118_d50_b2
2023_2024,V13,vegetativo,119,0,2,0.6254,0.1956,0.5,npy/V13__p119_d0_b2.npy,vegetativo/V13__p119_d0_b2.png,V13__p119_d0_b2
2023_2024,V13,vegetativo,121,200,3,0.7225,0.3199,1.0055,npy/V13__p121_d200_b3.npy,vegetativo/V13__p121_d200_b3.png,V13__p121_d200_b3
2023_2024,V13,vegetativo,122,100,3,0.7206,0.2823,0.8414,npy/V13__p122_d100_b3.npy,vegetativo/V13__p122_d100_b3.png,V13__p122_d100_b3
2023_2024,V13,vegetativo,123,0,3,0.6424,0.2178,0.5737,npy/V13__p123_d0_b3.npy,vegetativo/V13__p123_d0_b3.png,V13__p123_d0_b3
2023_2024,V13,vegetativo,124,400,3,0.726,0.3054,0.9306,npy/V13__p124_d400_b3.npy,vegetativo/V13__p124_d400_b3.png,V13__p124_d400_b3
2023_2024,V13,vegetativo,125,300,3,0.7131,0.2934,0.8783,npy/V13__p125_d300_b3.npy,vegetativo/V13__p125_d300_b3.png,V13__p125_d300_b3
2023_2024,V13,vegetativo,126,50,3,0.6879,0.2424,0.6657,npy/V13__p126_d50_b3.npy,vegetativo/V13__p126_d50_b3.png,V13__p126_d50_b3
2023_2024,V13,vegetativo,127,300,4,0.6862,0.2746,0.8085,npy/V13__p127_d300_b4.npy,vegetativo/V13__p127_d300_b4.png,V13__p127_d300_b4
2023_2024,V13,vegetativo,128,400,4,0.7558,0.3235,1.038,npy/V13__p128_d400_b4.npy,vegetativo/V13__p128_d400_b4.png,V13__p128_d400_b4
2023_2024,V13,vegetativo,130,100,4,0.7137,0.2898,0.8729,npy/V13__p130_d100_b4.npy,vegetativo/V13__p130_d100_b4.png,V13__p130_d100_b4
2023_2024,V13,vegetativo,131,50,4,0.7214,0.2678,0.7632,npy/V13__p131_d50_b4.npy,vegetativo/V13__p131_d50_b4.png,V13__p131_d50_b4
2023_2024,V13,vegetativo,132,0,4,0.6707,0.2253,0.602,npy/V13__p132_d0_b4.npy,vegetativo/V13__p132_d0_b4.png,V13__p132_d0_b4
2023_2024,V13,vegetativo,133,200,4,0.7088,0.3055,0.9314,npy/V13__p133_d200_b4.npy,vegetativo/V13__p133_d200_b4.png,V13__p133_d200_b4
2023_2024,V6,vegetativo,1,0,1,0.3235,0.0628,0.1378,npy/V6__p01_d0_b1.npy,vegetativo/V6__p01_d0_b1.png,V6__p01_d0_b1
2023_2024,V6,vegetativo,15,50,1,0.3609,0.0867,0.1978,npy/V6__p15_d50_b1.npy,vegetativo/V6__p15_d50_b1.png,V6__p15_d50_b1
2023_2024,V6,vegetativo,43,100,1,0.3516,0.0915,0.2098,npy/V6__p43_d100_b1.npy,vegetativo/V6__p43_d100_b1.png,V6__p43_d100_b1
2023_2024,V6,vegetativo,57,200,1,0.3449,0.0944,0.2189,npy/V6__p57_d200_b1.npy,vegetativo/V6__p57_d200_b1.png,V6__p57_d200_b1
2023_2024,V6,vegetativo,71,300,1,0.3417,0.0857,0.1953,npy/V6__p71_d300_b1.npy,vegetativo/V6__p71_d300_b1.png,V6__p71_d300_b1
2023_2024,V6,vegetativo,85,400,1,0.351,0.0923,0.2128,npy/V6__p85_d400_b1.npy,vegetativo/V6__p85_d400_b1.png,V6__p85_d400_b1
2023_2024,V6,vegetativo,113,400,2,0.3739,0.0982,0.2265,npy/V6__p113_d400_b2.npy,vegetativo/V6__p113_d400_b2.png,V6__p113_d400_b2
2023_2024,V6,vegetativo,114,300,2,0.3997,0.1046,0.2451,npy/V6__p114_d300_b2.npy,vegetativo/V6__p114_d300_b2.png,V6__p114_d300_b2
2023_2024,V6,vegetativo,116,200,2,0.3636,0.0917,0.2105,npy/V6__p116_d200_b2.npy,vegetativo/V6__p116_d200_b2.png,V6__p116_d200_b2
2023_2024,V6,vegetativo,117,100,2,0.3658,0.0889,0.2027,npy/V6__p117_d100_b2.npy,vegetativo/V6__p117_d100_b2.png,V6__p117_d100_b2
2023_2024,V6,vegetativo,118,50,2,0.3693,0.0924,0.211,npy/V6__p118_d50_b2.npy,vegetativo/V6__p118_d50_b2.png,V6__p118_d50_b2
2023_2024,V6,vegetativo,119,0,2,0.3245,0.0656,0.143,npy/V6__p119_d0_b2.npy,vegetativo/V6__p119_d0_b2.png,V6__p119_d0_b2
2023_2024,V6,vegetativo,121,200,3,0.4006,0.1076,0.2542,npy/V6__p121_d200_b3.npy,vegetativo/V6__p121_d200_b3.png,V6__p121_d200_b3
2023_2024,V6,vegetativo,122,100,3,0.3774,0.1004,0.2326,npy/V6__p122_d100_b3.npy,vegetativo/V6__p122_d100_b3.png,V6__p122_d100_b3
2023_2024,V6,vegetativo,123,0,3,0.3292,0.0653,0.1421,npy/V6__p123_d0_b3.npy,vegetativo/V6__p123_d0_b3.png,V6__p123_d0_b3
2023_2024,V6,vegetativo,124,400,3,0.3892,0.1016,0.236,npy/V6__p124_d400_b3.npy,vegetativo/V6__p124_d400_b3.png,V6__p124_d400_b3
2023_2024,V6,vegetativo,125,300,3,0.3837,0.0976,0.2242,npy/V6__p125_d300_b3.npy,vegetativo/V6__p125_d300_b3.png,V6__p125_d300_b3
2023_2024,V6,vegetativo,126,50,3,0.387,0.0923,0.2103,npy/V6__p126_d50_b3.npy,vegetativo/V6__p126_d50_b3.png,V6__p126_d50_b3
2023_2024,V6,vegetativo,127,300,4,0.3663,0.0955,0.2217,npy/V6__p127_d300_b4.npy,vegetativo/V6__p127_d300_b4.png,V6__p127_d300_b4
2023_2024,V6,vegetativo,128,400,4,0.3857,0.1033,0.2411,npy/V6__p128_d400_b4.npy,vegetativo/V6__p128_d400_b4.png,V6__p128_d400_b4
2023_2024,V6,vegetativo,130,100,4,0.4018,0.1089,0.2583,npy/V6__p130_d100_b4.npy,vegetativo/V6__p130_d100_b4.png,V6__p130_d100_b4
2023_2024,V6,vegetativo,131,50,4,0.3866,0.0993,0.2305,npy/V6__p131_d50_b4.npy,vegetativo/V6__p131_d50_b4.png,V6__p131_d50_b4
2023_2024,V6,vegetativo,132,0,4,0.3837,0.0762,0.169,npy/V6__p132_d0_b4.npy,vegetativo/V6__p132_d0_b4.png,V6__p132_d0_b4
2023_2024,V6,vegetativo,133,200,4,0.4068,0.1036,0.2402,npy/V6__p133_d200_b4.npy,vegetativo/V6__p133_d200_b4.png,V6__p133_d200_b4
2023_2024,V8,vegetativo,1,0,1,0.4372,0.1025,0.2378,npy/V8__p01_d0_b1.npy,vegetativo/V8__p01_d0_b1.png,V8__p01_d0_b1
2023_2024,V8,vegetativo,15,50,1,0.5975,0.1668,0.4208,npy/V8__p15_d50_b1.npy,vegetativo/V8__p15_d50_b1.png,V8__p15_d50_b1
2023_2024,V8,vegetativo,43,100,1,0.6119,0.1872,0.4881,npy/V8__p43_d100_b1.npy,vegetativo/V8__p43_d100_b1.png,V8__p43_d100_b1
2023_2024,V8,vegetativo,57,200,1,0.6136,0.2071,0.5529,npy/V8__p57_d200_b1.npy,vegetativo/V8__p57_d200_b1.png,V8__p57_d200_b1
2023_2024,V8,vegetativo,71,300,1,0.6406,0.2167,0.5788,npy/V8__p71_d300_b1.npy,vegetativo/V8__p71_d300_b1.png,V8__p71_d300_b1
2023_2024,V8,vegetativo,85,400,1,0.5659,0.1749,0.4408,npy/V8__p85_d400_b1.npy,vegetativo/V8__p85_d400_b1.png,V8__p85_d400_b1
2023_2024,V8,vegetativo,113,400,2,0.5926,0.1841,0.4771,npy/V8__p113_d400_b2.npy,vegetativo/V8__p113_d400_b2.png,V8__p113_d400_b2
2023_2024,V8,vegetativo,114,300,2,0.6756,0.2386,0.6733,npy/V8__p114_d300_b2.npy,vegetativo/V8__p114_d300_b2.png,V8__p114_d300_b2
2023_2024,V8,vegetativo,116,200,2,0.6542,0.2331,0.6449,npy/V8__p116_d200_b2.npy,vegetativo/V8__p116_d200_b2.png,V8__p116_d200_b2
2023_2024,V8,vegetativo,117,100,2,0.6381,0.2191,0.5912,npy/V8__p117_d100_b2.npy,vegetativo/V8__p117_d100_b2.png,V8__p117_d100_b2
2023_2024,V8,vegetativo,118,50,2,0.6089,0.1875,0.4814,npy/V8__p118_d50_b2.npy,vegetativo/V8__p118_d50_b2.png,V8__p118_d50_b2
2023_2024,V8,vegetativo,119,0,2,0.5345,0.1464,0.3541,npy/V8__p119_d0_b2.npy,vegetativo/V8__p119_d0_b2.png,V8__p119_d0_b2
2023_2024,V8,vegetativo,121,200,3,0.674,0.2432,0.6804,npy/V8__p121_d200_b3.npy,vegetativo/V8__p121_d200_b3.png,V8__p121_d200_b3
2023_2024,V8,vegetativo,122,100,3,0.633,0.2124,0.5665,npy/V8__p122_d100_b3.npy,vegetativo/V8__p122_d100_b3.png,V8__p122_d100_b3
2023_2024,V8,vegetativo,123,0,3,0.5587,0.1559,0.3804,npy/V8__p123_d0_b3.npy,vegetativo/V8__p123_d0_b3.png,V8__p123_d0_b3
2023_2024,V8,vegetativo,124,400,3,0.6734,0.2325,0.6342,npy/V8__p124_d400_b3.npy,vegetativo/V8__p124_d400_b3.png,V8__p124_d400_b3
2023_2024,V8,vegetativo,125,300,3,0.6563,0.2306,0.6335,npy/V8__p125_d300_b3.npy,vegetativo/V8__p125_d300_b3.png,V8__p125_d300_b3
2023_2024,V8,vegetativo,126,50,3,0.6128,0.1933,0.4971,npy/V8__p126_d50_b3.npy,vegetativo/V8__p126_d50_b3.png,V8__p126_d50_b3
2023_2024,V8,vegetativo,127,300,4,0.619,0.2042,0.5412,npy/V8__p127_d300_b4.npy,vegetativo/V8__p127_d300_b4.png,V8__p127_d300_b4
2023_2024,V8,vegetativo,128,400,4,0.6613,0.232,0.6367,npy/V8__p128_d400_b4.npy,vegetativo/V8__p128_d400_b4.png,V8__p128_d400_b4
2023_2024,V8,vegetativo,130,100,4,0.6624,0.2345,0.6506,npy/V8__p130_d100_b4.npy,vegetativo/V8__p130_d100_b4.png,V8__p130_d100_b4
2023_2024,V8,vegetativo,131,50,4,0.6469,0.2067,0.5423,npy/V8__p131_d50_b4.npy,vegetativo/V8__p131_d50_b4.png,V8__p131_d50_b4
2023_2024,V8,vegetativo,132,0,4,0.5916,0.1677,0.4136,npy/V8__p132_d0_b4.npy,vegetativo/V8__p132_d0_b4.png,V8__p132_d0_b4
2023_2024,V8,vegetativo,133,200,4,0.6843,0.2535,0.7164,npy/V8__p133_d200_b4.npy,vegetativo/V8__p133_d200_b4.png,V8__p133_d200_b4
